% 1. Title: Premiership Data 2013 Season With 3 Bokies And Match Rating

% 2. Source: http://www.football-data.co.uk/data.php



@relation Premiership2013
@attribute 'HomeTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Bradford, Burnley, Charlton, Chelsea, Coventry, CrystalPalace, Derby, Everton, Fulham, Hull, Ipswich, Leeds, Leicester, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'AwayTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Bradford, Burnley, Charlton, Chelsea, Coventry, CrystalPalace, Derby, Everton, Fulham, Hull, Ipswich, Leeds, Leicester, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'FullTimeHomeTeamGoals' numeric
@attribute 'FullTimeAwayTeamGoals' numeric
@attribute 'HalfTimeHomeTeamGoals' numeric
@attribute 'HalfTimeAwayTeamGoals' numeric
@attribute 'HomeTeamShots' numeric
@attribute 'AwayTeamShots' numeric
@attribute 'HomeTeamShotsOnTarget' numeric
@attribute 'AwayTeamShotsOnTarget' numeric
@attribute 'HomeTeamFoulsCommitted' numeric
@attribute 'AwayTeamFoulsCommitted' numeric
@attribute 'HomeTeamCorners' numeric
@attribute 'AwayTeamCorners' numeric
@attribute 'HomeTeamYellowCards' numeric
@attribute 'AwayTeamYellowCards' numeric
@attribute 'HomeTeamRedCards' numeric
@attribute 'AwayTeamRedCards' numeric
@attribute 'Bet365HomeWinOdds' numeric
@attribute 'Bet365DrawOdds' numeric
@attribute 'Bet365AwayWinOdds' numeric
@attribute 'LadbrooksHomeWinOdds' numeric
@attribute 'LadbrooksDrawOdds' numeric
@attribute 'LadbrooksAwayWinOdds' numeric
@attribute 'WilliamHillHomeWinOdds' numeric
@attribute 'WilliamHillDrawOdds' numeric
@attribute 'WilliamHillAwayWinOdds' numeric
@attribute 'MatchRating' numeric
@attribute 'HomeWinFairOdds' numeric
@attribute 'DrawFairOdds' numeric
@attribute 'AwayWinFairOdds' numeric
@attribute 'LeagueScoreDelta' numeric
@attribute 'class' { D,H,A }
@data
ManUnited,Tottenham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.57,4,6,1.62,3.75,5.5,1.62,3.75,5.5,-1,2.23,3.36,4.01,2,H
Wolves,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.5,3.4,1.73,5.5,3.5,1.67,5,3.5,1.73,-10,3.24,3.4,2.54,-11,H
AstonVilla,Birmingham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.8,3.6,4.5,1.83,3.4,4.5,1.83,3.5,4.33,1,2.08,3.43,4.46,1,D
Bolton,Liverpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.4,3.25,2.2,3.3,3.3,2.2,3.2,3.3,2.25,1,2.08,3.43,4.46,3,A
Newcastle,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.2,3.5,2.2,3.3,3.3,2.15,3.3,3.4,-3,2.39,3.32,3.61,-1,H
Blackpool,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.9,3.25,2.5,2.8,3.3,2.5,2.75,3.3,2.5,-9,3.08,3.37,2.67,-5,H
Birmingham,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.91,3.4,4.2,1.91,3.4,4,1.95,3.3,4,-2,2.31,3.34,3.8,5,D
Blackburn,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.8,3.6,4.5,1.83,3.4,4.5,1.83,3.4,4.5,0,2.15,3.39,4.23,-1,H
Blackpool,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.5,3.6,1.8,4.5,3.5,1.8,4.5,3.4,1.83,-10,3.24,3.4,2.54,0,D
Bolton,Tottenham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3,3.3,2.4,3,3.25,2.38,3,3,2.5,-1,2.23,3.36,4.01,-3,H
Fulham,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.25,3.4,2.25,3.25,3.2,2.2,3.1,3.5,1,2.08,3.43,4.46,0,D
ManUnited,Wolves,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.22,6,15,1.2,6.5,13,1.25,5,15,10,1.61,4.24,7.17,11,H
Sunderland,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.2,3.75,2.1,3.3,3.5,2.15,3.1,3.6,-2,2.31,3.34,3.8,2,H
Arsenal,Newcastle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.29,5.5,11,1.22,6,12,1.3,5,11,-2,2.31,3.34,3.8,6,A
Liverpool,Chelsea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.8,3.4,2,3.75,3.4,2,3.75,3.1,2.1,-10,3.24,3.4,2.54,-13,H
WestBrom,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.6,3.3,2.1,3.5,3.3,2.1,3.5,3.2,2.15,2,2.02,3.47,4.71,-2,A
Stoke,Birmingham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.2,3.75,2.1,3.3,3.5,2.05,3.25,3.75,-2,2.31,3.34,3.8,-2,H
Tottenham,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.53,4,6.5,1.53,3.75,6.5,1.57,3.8,6,-2,2.31,3.34,3.8,0,D
AstonVilla,Blackpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.62,3.75,6,1.57,3.75,6,1.62,3.75,5.5,1,2.08,3.43,4.46,-1,H
Chelsea,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.2,6.5,15,1.2,6.5,13,1.22,5.5,15,2,2.02,3.47,4.71,12,H
Everton,Bolton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.62,3.75,6,1.67,3.5,5.5,1.62,3.75,5.5,3,1.96,3.53,4.97,-1,D
ManCity,ManUnited,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.63,3.25,2.75,2.62,3.3,2.62,2.7,3.1,2.7,-3,2.39,3.32,3.61,-3,D
Newcastle,Blackburn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.91,3.4,4.2,2,3.4,3.75,1.95,3.3,4,5,1.84,3.67,5.54,5,A
WestHam,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.3,3.25,3.2,2.38,3.25,3,2.38,3.3,2.9,0,2.15,3.39,4.23,-8,D
Wigan,Liverpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.75,3.6,1.75,4.5,3.75,1.73,4.8,3.6,1.73,-2,2.31,3.34,3.8,-5,D
Wolves,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.5,3.6,1.67,6,3.75,1.57,6,3.75,1.57,-6,2.69,3.32,3.09,-11,A
AstonVilla,ManUnited,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.5,3.6,1.8,4.5,3.5,1.8,4.5,3.3,1.85,-5,2.59,3.31,3.25,-8,D
ManCity,Birmingham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.4,4.5,8.5,1.4,4.5,8,1.44,4.33,7,2,2.02,3.47,4.71,9,D
Newcastle,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.91,3.4,4.2,1.91,3.4,4,1.91,3.3,4.2,5,1.84,3.67,5.54,4,D
Stoke,Liverpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.75,3.25,2.1,3.75,3.4,2,3.6,3.1,2.15,-4,2.49,3.32,3.42,-3,H
Tottenham,Blackburn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.57,3.8,6.5,1.62,3.75,5.5,1.62,3.6,6,-1,2.23,3.36,4.01,1,H
WestHam,Blackpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.91,3.6,4,1.91,3.6,3.8,1.91,3.4,4,0,2.15,3.39,4.23,-6,D
Wigan,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,3.25,2.88,2.4,3.3,2.88,2.6,3.25,2.7,1,2.08,3.43,4.46,-5,H
Wolves,Bolton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.4,3.1,3.2,2.4,3.3,2.9,2.4,3.2,3,-8,2.94,3.35,2.8,-7,A
Chelsea,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.22,5.75,15,1.2,6.5,13,1.22,5.5,15,5,1.84,3.67,5.54,12,A
Everton,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.4,3.3,2.2,3.25,3.25,2.25,3.3,3.2,2.25,1,2.08,3.43,4.46,-8,A
Arsenal,Tottenham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.62,4,5.5,1.67,3.75,5,1.62,4,5,8,1.7,3.96,6.49,7,A
Birmingham,Chelsea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,3.6,1.73,5.5,3.75,1.62,4.4,3.6,1.8,1,2.08,3.43,4.46,-15,H
Blackpool,Wolves,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,3.3,2.88,2.3,3.4,3,2.4,3.4,2.8,2,2.02,3.47,4.71,6,H
Bolton,Newcastle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.3,3.6,2.1,3.3,3.5,2.1,3.5,3.25,-2,2.31,3.34,3.8,1,H
Liverpool,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.57,3.8,6.5,1.53,3.75,6.5,1.57,3.6,6.5,2,2.02,3.47,4.71,7,H
ManUnited,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.22,6,15,1.22,6,13,1.22,5.5,15,6,1.79,3.75,5.84,11,H
WestBrom,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.2,3.5,2.2,3.3,3.3,2.05,3.3,3.6,-1,2.23,3.36,4.01,0,A
Blackburn,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.3,3.25,3.25,2.38,3.25,3,2.3,3.1,3.2,-2,2.31,3.34,3.8,-2,H
Fulham,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.2,3.1,2.4,2.88,3.25,2.4,3,3.25,2.38,0,2.15,3.39,4.23,-8,A
Sunderland,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.6,3.2,2.8,2.4,3.25,2.88,2.62,3.1,2.8,0,2.15,3.39,4.23,4,D
AstonVilla,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.4,3.3,2.2,3.3,3.3,2.2,3.5,3.3,2.1,-7,2.81,3.33,2.94,-9,A
Bolton,Blackpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.57,4.2,5.5,1.62,3.75,5.5,1.62,3.6,6,7,1.74,3.85,6.16,4,D
Everton,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.57,3.8,6.5,1.57,3.75,6,1.62,3.6,6,6,1.79,3.75,5.84,0,A
Fulham,Birmingham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.3,4,2.1,3.3,3.5,2.1,3.1,3.8,-5,2.59,3.31,3.25,-2,D
ManUnited,Blackburn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.25,5.5,13,1.29,5.5,10,1.3,5,11,6,1.79,3.75,5.84,10,H
Stoke,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.4,3.25,2.2,3.3,3.3,2.2,3.75,3.1,2.1,1,2.08,3.43,4.46,-6,D
WestHam,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.5,3.75,2,3.4,3.75,2.1,3.3,3.5,-1,2.23,3.36,4.01,-5,H
Wolves,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.6,3.2,2.8,2.62,3.3,2.62,2.5,3.1,2.9,-8,2.94,3.35,2.8,-11,H
Newcastle,Chelsea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,3.6,1.73,5.5,3.75,1.62,5,3.3,1.8,3,1.96,3.53,4.97,-10,D
Tottenham,Liverpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.4,3.8,2.1,3.3,3.5,2,3.2,4,-6,2.69,3.32,3.09,3,H
Arsenal,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.29,5.25,12,1.29,5,11,1.3,5,11,6,1.79,3.75,5.84,14,H
Birmingham,Tottenham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.5,3.4,2.1,3.5,3.3,2.1,3.3,3.4,2.15,0,2.15,3.39,4.23,-8,D
Blackburn,Wolves,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.73,3.6,5,1.8,3.5,4.5,1.8,3.6,4.33,-2,2.31,3.34,3.8,6,H
Chelsea,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.36,4.75,9,1.36,5,7.5,1.4,4.2,9,-1,2.23,3.36,4.01,13,D
ManCity,Bolton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.53,4,6.5,1.53,4,6,1.57,3.6,6.5,-2,2.31,3.34,3.8,3,H
Wigan,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.75,3.2,2.63,2.5,3.3,2.8,2.7,3.1,2.7,-9,3.08,3.37,2.67,-6,D
Sunderland,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.83,3.5,4.5,1.91,3.4,4,1.83,3.5,4.33,2,2.02,3.47,4.71,8,H
WestBrom,Newcastle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.25,3.3,3.25,2.25,3.3,3.2,2.3,3.3,3.1,-4,2.49,3.32,3.42,0,H
Liverpool,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.62,3.75,6,1.62,3.75,5.5,1.62,3.6,6,6,1.79,3.75,5.84,2,H
AstonVilla,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.3,3.6,2,3.4,3.75,2.05,3.4,3.5,-5,2.59,3.31,3.25,-5,H
Everton,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.4,4.5,9,1.44,4.33,7,1.44,4.2,7.5,0,2.15,3.39,4.23,2,D
Fulham,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.25,3.4,2.25,3.25,3.25,2.2,3.2,3.4,-10,3.24,3.4,2.54,-8,D
Newcastle,Liverpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.8,3.4,2,3.75,3.4,2,3.5,3.25,2.1,-11,3.41,3.44,2.42,-3,H
Stoke,Blackpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.62,4,5.5,1.62,3.75,5.5,1.62,3.75,5.5,3,1.96,3.53,4.97,2,A
WestHam,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.5,3.6,1.8,4.33,3.5,1.83,4.33,3.5,1.83,-8,2.94,3.35,2.8,-17,A
Bolton,Blackburn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.3,4,2.1,3.3,3.5,2.1,3.3,3.5,7,1.74,3.85,6.16,2,H
Tottenham,Chelsea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.8,3.25,2.6,2.8,3.3,2.5,2.88,3.3,2.4,7,1.74,3.85,6.16,-4,D
Wolves,Birmingham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.4,3.25,3,2.38,3.25,3,2.4,3.2,3,-7,2.81,3.33,2.94,-6,H
ManUnited,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.4,3.8,2,3.4,3.75,2,3.4,3.75,7,1.74,3.85,6.16,-1,H
Blackburn,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.8,3.6,4.5,1.8,3.5,4.5,1.83,3.4,4.5,1,2.08,3.43,4.46,9,D
Sunderland,Bolton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.2,3.5,2.2,3.3,3.3,2.2,3.2,3.4,-2,2.31,3.34,3.8,-2,H
ManCity,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.73,3.6,5,1.73,3.5,5,1.75,3.5,4.8,10,1.61,4.24,7.17,14,A
AstonVilla,Tottenham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.2,3.3,2.3,3,3.25,2.38,3.1,3.25,2.3,-9,3.08,3.37,2.67,-7,A
Blackburn,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.3,3.2,3.2,2.2,3.2,3.4,2.3,3.2,3.1,-9,3.08,3.37,2.67,1,A
Bolton,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.25,3.75,2,3.4,3.75,2.1,3.3,3.5,4,1.9,3.59,5.25,4,H
Fulham,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.91,3.4,4.2,2,3.4,3.75,1.95,3.2,4.2,-1,2.23,3.36,4.01,3,A
ManUnited,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.29,5.5,11,1.25,5.5,12,1.29,5,11,6,1.79,3.75,5.84,7,H
Newcastle,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.25,3.25,2.25,3.4,3.4,2.1,3.1,3.2,2.3,-10,3.24,3.4,2.54,-10,A
Wolves,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.3,3.6,2.1,3.3,3.5,2.15,3.1,3.6,-2,2.31,3.34,3.8,-1,A
Arsenal,Chelsea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.63,3.2,2.75,2.5,3.3,2.8,2.6,3.1,2.8,7,1.74,3.85,6.16,1,H
Birmingham,ManUnited,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.5,4.33,1.5,6.5,3.75,1.53,6.5,3.8,1.53,-12,3.6,3.49,2.31,-19,D
ManCity,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.44,4.2,8,1.5,4,7,1.44,4.2,7.5,14,1.46,5.12,8.51,15,H
Stoke,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.83,3.4,4.75,1.83,3.5,4.33,1.91,3.3,4.2,12,1.53,4.61,7.86,8,A
Sunderland,Blackpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.62,3.75,6,1.62,3.75,5.5,1.62,3.75,5.5,-2,2.31,3.34,3.8,5,A
Tottenham,Newcastle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.53,4,6.5,1.5,4,7,1.53,3.8,6.5,11,1.57,4.41,7.51,8,H
WestBrom,Blackburn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.83,3.5,4.5,1.91,3.4,4,1.91,3.3,4.2,2,2.02,3.47,4.71,0,A
WestHam,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.4,3.2,2.25,3,3.3,2.3,3.2,3.2,2.25,1,2.08,3.43,4.46,-5,D
Chelsea,Bolton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.29,5.5,11,1.3,5,10,1.29,5,11,-11,3.41,3.44,2.42,2,H
Liverpool,Wolves,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.33,5,10,1.29,5.5,10,1.33,4.5,11,5,1.84,3.67,5.54,7,A
Wigan,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.5,4.2,1.5,7,4.33,1.44,6.5,3.8,1.53,-6,2.69,3.32,3.09,-16,D
Birmingham,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.5,3.6,1.67,5.5,3.5,1.67,5,3.75,1.67,-3,2.39,3.32,3.61,-17,A
Liverpool,Bolton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.7,3.75,5,1.67,3.75,5,1.73,3.5,5,0,2.15,3.39,4.23,-7,H
ManCity,Blackpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.29,5.5,10,1.29,5.5,10,1.3,5,11,5,1.84,3.67,5.54,13,H
Stoke,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.63,3.2,2.75,2.62,3.3,2.62,2.7,3.1,2.75,4,1.9,3.59,5.25,2,H
Sunderland,Blackburn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.83,3.5,4.5,1.83,3.4,4.5,1.85,3.4,4.4,1,2.08,3.43,4.46,2,H
Tottenham,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.4,4.5,8.5,1.4,4.5,8,1.44,4.33,7,9,1.65,4.09,6.83,14,H
WestBrom,ManUnited,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6,4.2,1.53,6.5,3.75,1.53,6,4,1.53,-14,4.06,3.62,2.11,-16,A
WestHam,Wolves,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.4,3.8,1.91,3.5,3.75,2,3.4,3.75,3,1.96,3.53,4.97,-1,H
Chelsea,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.25,5.5,13,1.25,5.5,12,1.25,5,15,9,1.65,4.09,6.83,14,D
Wigan,Newcastle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,3.2,2.9,2.5,3.3,2.8,2.5,3.25,2.88,5,1.84,3.67,5.54,-2,A
Blackpool,Birmingham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.3,3.25,3.25,2.2,3.3,3.3,2.38,3.2,3,6,1.79,3.75,5.84,6,A
Fulham,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.25,3.4,2.1,3.3,3.5,2.2,3.2,3.4,-1,2.23,3.36,4.01,-3,H
ManUnited,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.25,5.75,12,1.25,5.5,12,1.29,5.5,10,11,1.57,4.41,7.51,14,H
Arsenal,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.91,3.6,4,1.91,3.4,4,1.91,3.6,3.8,-2,2.31,3.34,3.8,-2,D
AstonVilla,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.25,3.4,2,3.5,3,2.1,3.3,3.5,-10,3.24,3.4,2.54,-9,A
Blackburn,Liverpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.4,3.25,2.2,2.75,3.25,2.2,3.4,3.3,2.15,-4,2.49,3.32,3.42,0,H
Bolton,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.73,3.6,5,1.62,3.5,4.5,1.7,3.6,5,1,2.08,3.43,4.46,9,D
Everton,Tottenham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.63,3.25,2.75,2.7,3.25,2.62,2.62,3.25,2.62,-9,3.08,3.37,2.67,-14,H
Newcastle,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.83,3.6,4.33,1.73,3.4,4,1.91,3.5,4,-4,2.49,3.32,3.42,5,H
Wolves,Chelsea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8,4.2,1.44,5.5,3.6,1.5,8.5,4.33,1.4,-2,2.31,3.34,3.8,-17,H
Blackpool,Liverpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.8,3.75,1.91,4,3.4,1.91,3.8,3.6,1.91,4,1.9,3.59,5.25,0,H
Chelsea,Blackburn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.29,5.5,11,1.29,5.5,10,1.29,5.5,10,0,2.15,3.39,4.23,7,H
ManCity,Wolves,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.33,5,10,1.3,5,11,1.35,4.8,9,11,1.57,4.41,7.51,21,H
Stoke,Bolton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.25,3.75,2.1,3.3,3.5,2.15,3.25,3.5,0,2.15,3.39,4.23,-3,H
WestBrom,Blackpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.8,3.6,4.5,1.73,3.75,4.5,1.73,3.8,4.33,-9,3.08,3.37,2.67,-6,H
WestHam,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6,4,1.57,6,3.75,1.57,5.5,4,1.57,-8,2.94,3.35,2.8,-20,A
Wigan,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,3.25,2.88,2.5,3.3,2.8,2.5,3.2,2.88,-1,2.23,3.36,4.01,-1,D
Birmingham,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.4,3.2,3.1,2.5,3.3,2.8,2.5,3.2,2.88,5,1.84,3.67,5.54,1,D
Liverpool,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.2,3.5,2.25,3.25,3.25,2.15,3.25,3.5,-2,2.31,3.34,3.8,0,D
Sunderland,Newcastle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.25,3.4,2.2,3.3,3.3,2.15,3.25,3.5,-1,2.23,3.36,4.01,5,D
Tottenham,ManUnited,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.88,3.3,2.5,3,3.25,2.38,2.8,3.3,2.5,-8,2.94,3.35,2.8,-8,D
Arsenal,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.2,6.5,15,1.2,6,15,1.22,6,13,7,1.74,3.85,6.16,21,H
AstonVilla,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.5,3.4,2.1,3.75,3.4,2,3.4,3.3,2.15,-12,3.6,3.49,2.31,-23,H
Blackpool,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,3.25,2.88,2.6,3.4,2.6,2.5,3.2,2.8,0,2.15,3.39,4.23,-6,A
Everton,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.5,4,7.5,1.53,3.75,6.5,1.53,3.8,6.5,4,1.9,3.59,5.25,6,D
Fulham,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.2,3.5,2.25,3.25,3.25,2.25,3.1,3.4,0,2.15,3.39,4.23,-7,H
ManUnited,Birmingham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.2,6.5,15,1.2,6,15,1.22,5.5,15,8,1.7,3.96,6.49,22,H
Newcastle,Tottenham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.5,3.4,2.1,3.2,3.3,2.25,3.4,3.4,2.1,1,2.08,3.43,4.46,-8,D
